DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV
1/30/18,29273806,Demenais F,12/22/17,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/29273806,Multiancestry association study identifies new asthma risk loci that colocalize with immune-cell enhancer marks.,Asthma (childhood onset),"7,131 European ancestry cases, 13,631 European ancestry controls, 1,239 Japanese ancestry cases, 3,976 Japanese ancestry controls, 606 Latino cases, 792 Latino controls",NA,2q12.1,2,102351825,"IL1Rl1, IL1RL2, IL18R1","IL18R1, IL1RL1",,,"ENSG00000115604, ENSG00000115602",,,rs4988958-T,rs4988958,0,4988958,synonymous_variant,0,NR,5.00E-13,12.30103,,1.1764705,[1.12-1.22],"Affymetrix, Illumina, Perlegen [2831075] (imputed)",N
1/30/18,29273806,Demenais F,12/22/17,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/29273806,Multiancestry association study identifies new asthma risk loci that colocalize with immune-cell enhancer marks.,Asthma (childhood onset),"7,131 European ancestry cases, 13,631 European ancestry controls, 1,239 Japanese ancestry cases, 3,976 Japanese ancestry controls, 606 Latino cases, 792 Latino controls",NA,5q31.1,5,132660753,"IL13, RAD50, IL4","TH2LCRR, IL13",,,"ENSG00000223442, ENSG00000169194",,,rs1295685-A,rs1295685,0,1295685,3_prime_UTR_variant,0,NR,2.00E-09,8.698970004,,1.1627907,[1.11-1.22],"Affymetrix, Illumina, Perlegen [2831075] (imputed)",N
1/30/18,29273806,Demenais F,12/22/17,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/29273806,Multiancestry association study identifies new asthma risk loci that colocalize with immune-cell enhancer marks.,Asthma (childhood onset),"7,131 European ancestry cases, 13,631 European ancestry controls, 1,239 Japanese ancestry cases, 3,976 Japanese ancestry controls, 606 Latino cases, 792 Latino controls",NA,6p21.33,6,31445184,"MICB, MICA","LINC01149, LINC01149, LINC01149, LINC01149",,,"ENSG00000231836, ENSG00000234858, ENSG00000226768, ENSG00000230174",,,rs2596464-C,rs2596464,0,2596464,intron_variant,0,NR,1.00E-08,8,,1.12,[1.08-1.17],"Affymetrix, Illumina, Perlegen [2831075] (imputed)",N
1/30/18,29273806,Demenais F,12/22/17,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/29273806,Multiancestry association study identifies new asthma risk loci that colocalize with immune-cell enhancer marks.,Asthma (childhood onset),"7,131 European ancestry cases, 13,631 European ancestry controls, 1,239 Japanese ancestry cases, 3,976 Japanese ancestry controls, 606 Latino cases, 792 Latino controls",NA,9p24.1,9,6231239,"IL33, RANBP6, TPD52L3",IL33,,,ENSG00000137033,,,rs12551256-A,rs12551256,0,12551256,intron_variant,0,NR,3.00E-08,7.522878745,,1.1235955,[1.08-1.16],"Affymetrix, Illumina, Perlegen [2831075] (imputed)",N
1/30/18,29273806,Demenais F,12/22/17,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/29273806,Multiancestry association study identifies new asthma risk loci that colocalize with immune-cell enhancer marks.,Asthma (childhood onset),"7,131 European ancestry cases, 13,631 European ancestry controls, 1,239 Japanese ancestry cases, 3,976 Japanese ancestry controls, 606 Latino cases, 792 Latino controls",NA,17q21.1,17,39900944,"ZPBP2, GSDMB",ZPBP2 - GSDMB,ENSG00000186075,ENSG00000073605,,23048,3651,rs8069176-G,rs8069176,0,8069176,intergenic_variant,1,NR,4.00E-26,25.39794001,,1.25,[1.2-1.3],"Affymetrix, Illumina, Perlegen [2831075] (imputed)",N
12/16/16,27142222,White MJ,5/3/16,Immunogenetics,www.ncbi.nlm.nih.gov/pubmed/27142222,Novel genetic risk factors for asthma in African American children: Precision Medicine and the SAGE II Study.,Asthma (childhood onset),"812 African American child cases, 415 African American child controls",NA,10p12.1,10,27452030,PTCHD3,PTCHD3 - RAB18,ENSG00000182077,ENSG00000099246,,37662,52144,rs660498-T,rs660498,0,660498,intergenic_variant,1,0.46,2.00E-07,6.698970004,,1.62,[1.35-1.95],Affymetrix [797128],N
12/16/16,27142222,White MJ,5/3/16,Immunogenetics,www.ncbi.nlm.nih.gov/pubmed/27142222,Novel genetic risk factors for asthma in African American children: Precision Medicine and the SAGE II Study.,Asthma (childhood onset),"812 African American child cases, 415 African American child controls",NA,7q21.11,7,83528488,SEMA3E,SEMA3E,,,ENSG00000170381,,,rs17446324-A,rs17446324,0,17446324,intron_variant,0,0.95,5.00E-06,5.301029996,,2.4390244,[1.67-3.57],Affymetrix [797128],N
12/16/16,27142222,White MJ,5/3/16,Immunogenetics,www.ncbi.nlm.nih.gov/pubmed/27142222,Novel genetic risk factors for asthma in African American children: Precision Medicine and the SAGE II Study.,Asthma (childhood onset),"812 African American child cases, 415 African American child controls",NA,19p13.2,19,7264538,INSR,INSR,,,ENSG00000171105,,,rs67731056-C,rs67731056,0,67731056,intron_variant,0,0.14,7.00E-06,5.15490196,,1.88,[1.43-2.48],Affymetrix [797128],N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q23.3,1,161215268,NR,FCER1G,,,ENSG00000158869,,,rs2070901-?,rs2070901,0,2070901,non_coding_transcript_exon_variant,0,NR,3.00E-09,8.522878745,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q32.1,1,203124073,NR,ADORA1,,,ENSG00000163485,,,rs12023876-?,rs12023876,0,12023876,intron_variant,0,NR,7.00E-12,11.15490196,,,,Affymetrix [~ 8270000] (imputed),N
